Category,Icon,Subcategory,Social Keywords (Common Language),311 Signals,Bill Language,Congress.gov Mapping
Housing & Development,⌂,Affordable Housing,"rent prices, can't afford, housing costs, priced out, section 8, voucher, rent too high, housing crisis, affordable apartments, low-income housing, HUD","code enforcement, housing complaints, eviction notices","affordable housing fund, inclusionary zoning, housing trust",Housing and Community Development
,,Homelessness,"unhoused, tent city, shelters full, sleeping outside, homeless camp, panhandling, encampment, living on the street, nowhere to go","homeless encampment, shelter capacity","homeless services, continuum of care, emergency shelter",
,,Zoning & Land Use,"developers, rezoning, density, NIMBY, building in my neighborhood, too many apartments, new construction, master plan, mixed-use","zoning variance, permit complaint, construction complaint","land use regulation, zoning overlay, comprehensive plan",
,,Gentrification & Displacement,"gentrification, neighborhood changing, pushed out, long-time residents, OGs leaving, can't afford my neighborhood, culture gone, new people moving in",neighborhood change complaints,"anti-displacement, community land trust, right to return",
,,Rental Protections,"landlord, eviction, lease, security deposit, rent increase, slumlord, raising my rent, won't fix anything, habitability, mold, roaches",landlord-tenant disputes,"tenant protection, eviction moratorium, rent stabilization",
,,Public Housing,"CHWHA, housing authority, project, maintenance, repairs never done, public housing falling apart, the projects, section 8 waitlist",public housing maintenance,"public housing capital, housing authority reform",
Health & Human Services,✚,Healthcare Access,"insurance, ER wait, can't see a doctor, copay, premiums, uninsured, no doctor taking patients, urgent care, healthcare too expensive, Medicaid, ACA",—,"Medicaid expansion, healthcare access, insurance mandate",Health; Families; Social Welfare
,,Childcare,"daycare costs, childcare desert, waitlist, can't afford daycare, preschool, $1800 a month, infant care, childcare closing, nanny expensive, pre-K",childcare facility complaints,"childcare subsidy, provider licensing, early childhood education",
,,Mental Health,"therapy, depression, anxiety, mental health services, counseling, can't get an appointment, therapist waitlist, mental health crisis, burnout",mental health crisis calls,"behavioral health, mental health parity, crisis intervention",
,,Elder Care,"nursing home, assisted living, aging parent, home care, medicare, elderly abuse, senior care costs, memory care, aging in place",elder abuse reports,"aging services, long-term care, elder abuse prevention",
,,Food Security,"food stamps, SNAP, food desert, hungry, EBT, groceries expensive, food bank, food pantry, can't feed my family, free lunch program",food bank capacity,"food assistance, SNAP benefits, food access",
,,Substance Abuse,"opioid, fentanyl, overdose, rehab, naloxone, narcan, addiction, meth, drug crisis, recovery, treatment center, sober living","overdose reports, needle disposal","substance abuse treatment, opioid prevention, recovery services",
